CELLNAME,Size_Factor,num_genes_expressed,Pseudotime,State,ORDER
TESE1_2_cell_160-001,0.6375365892825171,556,1.0520125053007066,1,32
TESE1_2_cell_056-059,0.807709414155406,706,1.4200470273985626,1,93
TESE1_2_cell_171-023,0.6494172382469487,597,1.4461605849430599,1,102
TESE1_2_cell_011-025,0.6972892649565705,563,1.3556525202433545,1,81
TESE1_2_cell_048-083,0.576211474774936,426,1.1095151176618687,1,42
TESE1_2_cell_362-062,0.6106304136865983,460,1.207317454268148,1,52
TESE1_2_cell_314-188,0.6574541478405349,546,1.4544790642190029,1,104
TESE1_2_cell_272-180,0.5627583869769766,437,1.2394005866114357,1,62
TESE1_2_cell_181-141,0.4878054692454885,371,1.0889758278050048,1,38
TESE1_2_cell_309-031,0.6039912275005923,538,3.4342664692448355,1,147
TESE1_2_cell_111-004,0.6169201690207091,499,1.4369536992072303,1,96
TESE1_2_cell_190-064,0.6109798445384933,483,1.105933106369555,1,40
TESE1_2_cell_022-161,0.5466845677898043,427,1.185893708820476,1,49
TESE1_2_cell_378-357,0.46858677239126084,358,1.0591421754579828,1,33
TESE1_2_cell_267-180,0.49060091606064893,357,1.2503841230560646,1,63
TESE1_2_cell_053-108,0.5197783921938856,429,0.9521102331528802,1,20
TESE1_2_cell_117-006,0.32077752203965504,211,0.6634654635820818,1,5
TESE1_2_cell_329-377,0.4081352350134173,350,1.2114889976318302,1,55
TESE1_2_cell_248-208,0.43521612603528365,364,0.9848783915580017,1,23
TESE1_2_cell_378-234,0.43958401168397176,341,1.0317331175819329,1,28
TESE1_2_cell_020-261,0.33842378006035506,262,1.0817048066915742,1,36
TESE1_2_cell_164-327,0.34506296624636096,233,0.8165809599431132,1,10
TESE1_2_cell_363-145,0.2512407825125403,167,0.5728379359701596,1,4
TESE1_2_cell_338-002,0.23132322395452248,152,0.6799049934961358,1,6
TESE1_2_cell_233-279,0.2903770379247858,215,1.0324960336301916,1,29
TESE1_2_cell_300-259,0.284786144294465,177,0.6990399266099094,1,7
TESE1_2_cell_103-020,0.3558953226551075,313,1.3800351100998576,1,88
TESE1_2_cell_009-185,0.3363271949489847,305,1.2833484568006326,1,68
TESE1_2_cell_342-112,0.27587565757114124,222,1.0185127892148622,1,26
TESE2_1_cell_146-369,0.5465098523638567,515,1.224464115243165,1,59
TESE2_1_cell_328-018,0.3363271949489847,317,1.2559124016379173,1,64
TESE2_1_cell_363-217,0.23586582502915812,209,1.069325805990431,1,34
TESE2_2_cell_266-124,0.6125522833720211,523,1.1333979628324196,1,44
TESE2_2_cell_219-353,0.38384979080671144,351,1.092262870657676,1,39
TESE2_2_cell_339-309,0.3195545140580224,245,0.9757647168726443,1,22
TESE2_2_cell_121-139,0.23167265480641755,182,0.7989034690839679,1,9
TESE1_1_cell_278-004,2.7577082831557274,2990,24.97926303167327,1,384
TESE1_1_cell_159-140,1.8739976587131482,1773,9.07640288084392,1,268
TESE1_1_cell_132-160,1.6279983389790338,1533,6.5794700690358505,1,216
TESE1_1_cell_026-350,1.538544040893901,1518,8.143887658668838,1,258
TESE1_1_cell_157-372,1.1150338483971016,1048,9.441130285548706,1,272
TESE1_1_cell_159-066,1.3833967426524993,1426,6.198661689308865,1,210
TESE1_1_cell_101-179,1.2147963566131381,1219,8.99490023941881,1,267
TESE1_1_cell_061-040,1.22807472898515,1212,7.895399837683228,1,252
TESE1_1_cell_125-041,1.2120009097979778,1200,8.458520342926764,1,263
TESE1_1_cell_196-277,1.1740876623673648,1216,7.487923183442597,1,242
TESE1_1_cell_124-103,1.2728018780277164,1329,9.145230058058159,1,270
TESE1_1_cell_238-141,0.8445743690303337,818,28.17150941791021,1,401
TESE1_1_cell_125-372,0.9508013480064286,920,6.942486530519653,1,224
TESE1_1_cell_068-115,1.082187348318967,998,8.140416587989254,1,257
TESE1_1_cell_259-326,1.0084574385691116,974,6.9539959359200845,1,225
TESE1_1_cell_348-353,0.8947176962772732,879,5.509544706630672,1,193
TESE1_1_cell_174-119,0.8211625019533654,750,7.216562653970551,1,232
TESE1_1_cell_133-139,0.8194153476938901,757,6.427151709978183,1,213
TESE1_1_cell_318-164,0.9743879305093444,870,1.724284211982554,1,115
TESE1_1_cell_364-180,0.619540900409922,521,5.639926687236744,1,196
TESE1_1_cell_234-375,0.7666512890577377,730,8.729785642205243,1,265
TESE1_1_cell_112-081,0.7549453555192536,718,9.645359254420173,1,273
TESE1_1_cell_127-055,0.5900139934247904,491,1.480387795556397,1,109
TESE1_1_cell_032-145,0.6749256904352873,590,5.873683417200527,1,202
TESE1_1_cell_330-268,0.7027054431609437,659,7.190519320028278,1,230
TESE1_1_cell_338-162,0.6646174803043834,557,1.562916610630424,1,112
TESE1_1_cell_178-007,0.5781333444603587,523,3.926521864670992,1,161
TESE1_1_cell_233-333,0.3910131232705599,289,1.4393113560575286,1,99
TESE1_1_cell_009-301,0.3586907694702679,250,1.2354415338581648,1,61
TESE1_1_cell_195-330,0.2591029766801789,192,1.3074924945096296,1,73
TESE1_1_cell_332-009,0.3199039449099174,246,2.589670508213427,1,130
TESE1_2_cell_188-068,1.4725016098857369,1553,11.728834625489394,1,291
TESE1_2_cell_373-012,1.5691192404347178,1484,10.699441894733685,1,280
TESE1_2_cell_081-000,1.285381388695938,1216,7.739155543985973,1,248
TESE1_2_cell_080-138,1.1756601012008927,1110,6.955910922320957,1,226
TESE1_2_cell_162-056,0.957964680470277,864,3.177678196759702,1,140
TESE1_2_cell_373-325,1.0427016620548264,1012,8.406313918880235,1,262
TESE1_2_cell_060-037,1.0591249120938937,967,1.427709802493236,1,95
TESE1_2_cell_261-082,1.0077585768653217,1041,7.3101384013685795,1,234
TESE1_2_cell_249-071,0.8309465658064268,738,4.662701464151552,1,180
TESE1_2_cell_037-052,0.8248315258982634,673,1.0051195324521172,1,24
TESE1_2_cell_004-257,0.7629822651128397,699,5.440433156057953,1,191
TESE1_2_cell_127-136,0.9418908612831048,883,4.650567372482961,1,179
TESE1_2_cell_338-004,0.8987361510740662,873,9.134495491056379,1,269
TESE1_2_cell_366-183,0.8290246961210039,741,3.8747740403766975,1,159
TESE1_2_cell_079-010,0.7706697438545308,710,6.429945190095958,1,214
TESE1_2_cell_137-092,0.619540900409922,512,3.7343898683981926,1,155
TESE1_2_cell_203-354,0.48588359956006577,348,1.1611296999833405,1,47
TESE1_2_cell_360-168,0.508946035785139,388,3.5890744614749424,1,152
TESE1_2_cell_106-008,0.47015921122478854,364,1.3732575841669619,1,87
TESE1_2_cell_339-163,0.49060091606064893,412,5.038331429182548,1,185
TESE1_2_cell_100-311,0.5120909134521945,435,2.3744919012826626,1,127
TESE1_2_cell_078-094,0.4570555542787242,344,1.7279891680969768,1,116
TESE1_2_cell_111-009,0.44622319786997766,328,1.4696790689464017,1,106
TESE1_2_cell_036-040,0.4439518973326599,348,1.3901268731936067,1,91
TESE1_2_cell_120-161,0.40236962595714904,346,3.9166017993009747,1,160
TESE1_2_cell_241-031,0.37092084928659463,264,1.7108681031902975,1,114
TESE1_2_cell_302-352,0.3153613438352818,240,1.209577275850964,1,54
TESE1_2_cell_244-036,0.2739537878857185,167,0.9045393355173831,1,16
TESE1_2_cell_256-330,0.26032598466181156,159,1.2257494700152611,1,60
TESE1_2_cell_049-252,0.25543395273528086,140,1.0303999043371512,1,27
TESE2_1_cell_185-329,0.9280883426332504,860,4.209117506991809,1,171
TESE2_1_cell_079-276,0.9839972789364583,944,5.2770473632036214,1,188
TESE2_1_cell_309-017,0.8527859940498673,893,7.843440160497851,1,251
TESE2_1_cell_027-220,0.6599001638038002,616,4.568988323986428,1,177
TESE2_1_cell_066-367,0.9520243559880612,1042,7.485661040157432,1,241
TESE2_1_cell_023-197,0.5534984694017577,486,1.3648199849565918,1,85
TESE2_1_cell_225-074,0.5447626981043815,471,3.5797358282516973,1,151
TESE2_1_cell_040-103,0.5790069215900964,573,6.02616040694421,1,205
TESE2_1_cell_226-255,0.4558325462970915,402,4.892397533827895,1,182
TESE2_1_cell_069-318,0.43958401168397176,376,2.6892336630517892,1,132
TESE2_2_cell_262-343,1.025230119460074,1129,10.197563415648107,1,276
TESE2_2_cell_209-177,0.6246076477624003,518,3.76145277837275,1,156
TESE2_2_cell_211-180,0.7294369033309149,713,7.08131474859216,1,227
TESE2_2_cell_011-316,0.7308346267384952,686,4.012692181536838,1,166
TESE2_2_cell_200-225,0.672829105323917,645,4.593746615331693,1,178
TESE2_2_cell_190-326,0.49846311022828754,413,3.2121429153094407,1,141
TESE2_2_cell_226-355,0.4514646606484034,408,3.374660936463558,1,145
TESE2_2_cell_072-341,0.40673751160583715,333,2.4363755696510685,1,128
TESE2_2_cell_314-177,0.36637824821195897,243,1.209127212141613,1,53
TESE2_2_cell_139-067,0.46963506494694596,455,4.37132037007709,1,175
TESE2_2_cell_214-253,0.30522784913032536,197,0.8279899828762081,1,11
TESE2_2_cell_063-021,0.32549483854023825,300,1.1751606320636168,1,48
TESE1_1_cell_133-089,0.9639050049524929,916,6.884098078758091,1,222
TESE1_1_cell_059-172,0.9069477760935999,914,7.243064913885824,1,233
TESE1_1_cell_018-042,1.1080452313592006,980,1.1407456462212333,1,45
TESE1_1_cell_029-015,1.08550694141197,1115,11.872356819254364,1,292
TESE1_1_cell_054-084,0.9242446032624049,868,10.090360925925648,1,275
TESE1_1_cell_024-086,0.7336300735536556,651,7.982077827364208,1,254
TESE1_1_cell_377-277,0.5826759455349944,484,7.58399200047915,1,245
TESE1_1_cell_033-019,0.5161093682489875,512,15.177539930721805,1,311
TESE1_1_cell_082-139,0.5472087140676468,457,5.980458136559645,1,204
TESE1_1_cell_048-255,0.33720077207872234,252,2.3504327615416356,1,126
TESE1_1_cell_176-065,0.466315471853943,482,7.344532533565697,1,236
TESE1_1_cell_375-245,0.3295132933370313,187,0.4725918866663316,1,3
TESE1_1_cell_001-045,0.3158854901131244,289,4.429795252044121,1,176
TESE1_1_cell_250-150,0.2575305378466512,231,6.075095309115492,1,206
TESE1_2_cell_146-079,0.7582649486122566,603,1.0766489969614423,1,35
TESE1_2_cell_135-055,0.7338047889796031,649,8.071153349419404,1,256
TESE1_2_cell_322-355,0.6197156158358695,512,6.898599495944898,1,223
TESE1_2_cell_291-009,0.7465590150737724,670,7.558202871050187,1,243
TESE1_2_cell_344-004,0.7327564964239179,615,6.357994932065995,1,211
TESE1_2_cell_177-007,0.5693975731629825,511,6.598668152079472,1,217
TESE1_2_cell_304-327,0.5742896050895132,511,7.457246589162383,1,240
TESE1_2_cell_035-090,0.46212230163120244,354,6.11933739578234,1,208
TESE1_2_cell_161-064,0.3137889050017541,227,3.943258714491267,1,164
TESE2_1_cell_234-054,0.45216352235219354,334,1.4527979029966358,1,103
TESE2_1_cell_075-037,0.640506751523625,584,7.938197539912245,1,253
TESE2_1_cell_268-056,0.5666021263478221,485,7.34155519527821,1,235
TESE2_1_cell_354-211,0.5026562804510281,428,3.932804982948121,1,162
TESE2_1_cell_190-095,0.5463351369379092,469,4.34974492761408,1,173
TESE2_1_cell_280-285,0.6469712222836834,576,6.121880592235744,1,209
TESE2_1_cell_213-222,0.44220474307318464,372,3.4422030612919348,1,148
TESE2_1_cell_304-210,0.4076110887355748,308,3.7846428734857898,1,157
TESE2_1_cell_309-226,0.4907756314865964,436,4.352032105794195,1,174
TESE2_1_cell_064-031,0.6396331743938873,633,7.368618752247042,1,238
