CELLNAME,Size_Factor,num_genes_expressed,Pseudotime,State,ORDER
Mouse_4m_2_cell_214-361,0.2904701983224491,278,0.40316590411406733,1,67
Mouse_4m_2_cell_207-177,0.292358254611545,347,0.3876216904300619,1,61
Mouse_4m_2_cell_309-052,0.26011606259775316,290,0.44005881763588583,1,80
Mouse_4m_2_cell_320-056,0.2538709533338205,272,0.3924159252318445,1,63
Mouse_4m_2_cell_182-028,0.27507527781135926,331,0.35130333966163446,1,39
Mouse_4m_2_cell_343-187,0.23992838381434295,261,0.3842179194897974,1,53
Mouse_4m_2_cell_185-119,0.23978314871518172,244,0.528546688267184,1,120
Mouse_4m_2_cell_345-314,0.2461734930782756,247,0.7574716527425375,1,172
Mouse_4m_2_cell_271-227,0.21276942027119397,213,0.3311393013782321,1,34
Mouse_4m_2_cell_103-108,0.2426878506984062,251,0.3191972924055809,1,31
Mouse_4m_2_cell_369-083,0.2172717083451919,219,0.45035558952409704,1,85
Mouse_4m_2_cell_183-019,0.19781020505758784,195,0.3161585904821298,1,29
Mouse_4m_2_cell_232-167,0.1880794534137858,162,0.9072574913943661,1,201
Mouse_4m_1_cell_334-025,0.4557477411679226,551,0.1332174288982177,1,5
Mouse_4m_1_cell_359-093,0.3212600393446287,364,0.5421379852262724,1,124
Mouse_4m_1_cell_180-016,0.28974402282664297,297,0.33859870768844363,1,36
Mouse_4m_1_cell_310-263,0.20739572160222866,200,0.3857158832178643,1,56
Mouse_4m_1_cell_316-361,0.22337158250996336,196,0.6172129012898224,1,146
Mouse_4m_1_cell_362-125,0.22380728780744702,213,0.6159132894123069,1,145
Mouse_4m_1_cell_279-062,0.1976649699584266,195,0.44466129644863345,1,81
Mouse_4m_2_cell_129-179,0.41871279088181035,492,0.5408203532188338,1,123
Mouse_4m_2_cell_080-005,0.4129033869153614,500,0.7010706776335364,1,165
Mouse_4m_2_cell_021-089,0.2473353738715654,242,0.5801168622259834,1,132
Mouse_4m_2_cell_181-296,0.22380728780744702,230,0.5183543935241279,1,117
Mouse_4m_2_cell_002-270,0.22409775800576948,226,0.4273007457095939,1,76
Mouse_4m_2_cell_091-053,0.19083892029784905,184,0.4978320570624553,1,108
Mouse_4m_2_cell_064-092,0.25532330432543276,246,0.4980701593027357,1,109
Mouse_4m_2_cell_292-015,0.26360170497762253,297,0.21167313341290273,1,9
Mouse_4m_2_cell_158-057,0.23862126792189192,249,0.2738568969579222,1,17
Mouse_4m_1_cell_181-119,3.1632204597314706,3198,1.4150119518110715,1,245
Mouse_4m_1_cell_281-370,2.396814841457689,2628,1.1972554487979519,1,225
Mouse_4m_1_cell_248-083,1.9474574446528599,2281,1.4499170792609504,1,250
Mouse_4m_1_cell_330-258,1.2895424454525128,1610,0.8175750340210892,1,183
Mouse_4m_1_cell_142-063,1.6537920741488639,1976,1.343516083215408,1,236
Mouse_4m_1_cell_365-089,1.171321074735276,1542,0.4490453839034656,1,83
Mouse_4m_1_cell_340-139,1.398468769823431,1741,1.2277180046907334,1,229
Mouse_4m_1_cell_161-275,1.1935420449069434,1558,0.7617431439091856,1,173
Mouse_4m_1_cell_220-132,1.089118008610023,1380,1.4253293891023204,1,247
Mouse_4m_1_cell_364-004,1.0140314623436697,1327,0.6004117683854153,1,141
Mouse_4m_1_cell_179-229,1.0879561278167331,1414,0.5838902761571918,1,134
Mouse_4m_1_cell_292-320,1.551691799438523,1897,1.5100332145682225,1,255
Mouse_4m_1_cell_050-098,1.1841017634614637,1532,0.697633344285889,1,164
Mouse_4m_1_cell_060-023,1.4463963525466352,1831,1.1258816047416529,1,215
Mouse_4m_1_cell_263-354,1.122086376119621,1425,1.3496545641725597,1,238
Mouse_4m_1_cell_204-017,1.0699469755207411,1349,1.1417066123342627,1,216
Mouse_4m_1_cell_135-305,0.9277618134419024,1209,0.8296656589331112,1,186
Mouse_4m_1_cell_192-263,0.98440350211478,1181,0.5733251391294646,1,131
Mouse_4m_1_cell_156-239,1.1942682204027495,1562,0.8400411784323131,1,190
Mouse_4m_1_cell_116-307,1.2074846144264209,1561,0.9749043220221212,1,207
Mouse_4m_1_cell_224-380,1.028409737160631,1386,0.22695363564926702,1,11
Mouse_4m_1_cell_025-133,0.8658916611992208,1134,0.6825466810013513,1,161
Mouse_4m_1_cell_342-209,0.9165787108064881,1201,1.2148482611161295,1,227
Mouse_4m_1_cell_368-208,0.9832416213214902,1251,1.1584604160399004,1,219
Mouse_4m_1_cell_368-171,0.8852079293876636,1176,0.37599647786956136,1,49
Mouse_4m_1_cell_052-100,0.8515133863822595,1073,0.48847349427701015,1,103
Mouse_4m_1_cell_141-243,1.201820445559133,1603,1.1943017468607953,1,224
Mouse_4m_1_cell_289-287,0.8160760221869208,1097,0.526401014059306,1,119
Mouse_4m_1_cell_225-313,1.051066412629782,1349,1.0304618608212095,1,210
